onset	duration	stimulus
0.5148	6.0	CSminHt
28.5183	6.0	CSnegFt
56.5052	6.0	CSminFt
84.5087	6.0	CSnegHt
112.5123	6.0	CSminHt
140.5158	6.0	CSnegFt
168.5027	6.0	CSminFt
196.5062	6.0	CSnegHt
224.5098	6.0	CSnegFf
230.5187	0.5	USneg
252.5133	6.0	CSnegHf
258.5185	0.5	USneg
280.5169	6.0	CSminFf
308.5038	6.0	CSminFf
336.5073	6.0	CSminHf
364.5108	6.0	CSnegFf
370.5178	0.5	USneg
392.5144	6.0	CSminHt
420.5013	6.0	CSnegFt
448.5048	6.0	CSminFt
476.5084	6.0	CSnegHt
504.5119	6.0	CSnegHf
510.517	0.5	USneg
532.5154	6.0	CSminHf
560.5023	6.0	CSminHt
588.5059	6.0	CSnegFt
616.5094	6.0	CSminFt
644.5129	6.0	CSnegHt
672.4998	6.0	CSnegHf
678.5159	0.5	USneg
700.5034	6.0	CSminHf
728.5069	6.0	CSnegFf
734.5156	0.5	USneg
756.5105	6.0	CSminFf
784.514	6.0	CSminHf
812.5009	6.0	CSnegHf
818.5151	0.5	USneg
840.5044	6.0	CSminHt
868.508	6.0	CSnegFt
896.5115	6.0	CSminFt
924.4984	6.0	CSnegHt
952.5019	6.0	CSnegFf
958.5142	0.5	USneg
980.5055	6.0	CSnegFf
986.514	0.5	USneg
1008.509	6.0	CSminFf
1036.5125	6.0	CSminHf
1064.4994	6.0	CSminFf
1092.503	6.0	CSnegHf
1098.5133	0.5	USneg
1120.5065	6.0	CSminHt
1148.51	6.0	CSnegFt
1176.4969	6.0	CSminFt
1204.5005	6.0	CSnegHt
1232.504	6.0	CSnegFf
1238.5124	0.5	USneg
1260.5075	6.0	CSminHf
1288.5205	6.0	CSnegHf
1294.5121	0.5	USneg
1316.498	6.0	CSminFf
1344.5015	6.0	CSminHt
1372.505	6.0	CSnegFt
1400.5086	6.0	CSminFt
1428.4955	6.0	CSnegHt
