onset	duration	stimulus
0.5077	6.0	CSnegFt
28.5114	6.0	CSminHt
56.5152	6.0	CSnegHt
84.5189	6.0	CSminFt
112.506	6.0	CSnegFt
140.5098	6.0	CSminHt
168.5135	6.0	CSnegHt
196.5173	6.0	CSminFt
224.5043	6.0	CSnegHf
230.5204	0.5	USneg
252.5081	6.0	CSnegFf
258.5204	0.5	USneg
280.5118	6.0	CSminHf
308.5156	6.0	CSminHf
336.5193	6.0	CSminFf
364.5064	6.0	CSnegHf
370.5205	0.5	USneg
392.5101	6.0	CSnegFt
420.5139	6.0	CSminHt
448.5176	6.0	CSnegHt
476.5047	6.0	CSminFt
504.5084	6.0	CSnegFf
510.5207	0.5	USneg
532.5122	6.0	CSminFf
560.5159	6.0	CSnegFt
588.5197	6.0	CSminHt
616.5068	6.0	CSnegHt
644.5105	6.0	CSminFt
672.5143	6.0	CSnegFf
678.5209	0.5	USneg
700.518	6.0	CSminFf
728.5051	6.0	CSnegHf
734.5209	0.5	USneg
756.5088	6.0	CSminHf
784.5126	6.0	CSminFf
812.5163	6.0	CSnegFf
818.521	0.5	USneg
840.52	6.0	CSnegFt
868.5071	6.0	CSminHt
896.5109	6.0	CSnegHt
924.5146	6.0	CSminFt
952.5184	6.0	CSnegHf
958.5212	0.5	USneg
980.5054	6.0	CSnegHf
986.5213	0.5	USneg
1008.5092	6.0	CSminHf
1036.513	6.0	CSminFf
1064.5167	6.0	CSminHf
1092.5038	6.0	CSnegFf
1098.5214	0.5	USneg
1120.5075	6.0	CSnegFt
1148.5113	6.0	CSminHt
1176.515	6.0	CSnegHt
1204.5187	6.0	CSminFt
1232.5058	6.0	CSnegHf
1238.5215	0.5	USneg
1260.5096	6.0	CSminFf
1288.5133	6.0	CSnegFf
1294.5216	0.5	USneg
1316.5171	6.0	CSminHf
1344.5041	6.0	CSnegFt
1372.5079	6.0	CSminHt
1400.5116	6.0	CSnegHt
1428.5154	6.0	CSminFt
