onset	duration	stimulus
0.5094	6.0	CSminHt
28.5132	6.0	CSnegFt
56.5169	6.0	CSminFt
84.504	6.0	CSnegHt
112.5078	6.0	CSminHt
140.5115	6.0	CSnegFt
168.5153	6.0	CSminFt
196.519	6.0	CSnegHt
224.5061	6.0	CSnegFf
230.5203	0.5	USneg
252.5099	6.0	CSnegHf
258.5203	0.5	USneg
280.5136	6.0	CSminFf
308.5174	6.0	CSminFf
336.5045	6.0	CSminHf
364.5082	6.0	CSnegFf
370.5204	0.5	USneg
392.512	6.0	CSminHt
420.5157	6.0	CSnegFt
448.5195	6.0	CSminFt
476.5065	6.0	CSnegHt
504.5103	6.0	CSnegHf
510.5206	0.5	USneg
532.514	6.0	CSminHf
560.5178	6.0	CSminHt
588.5049	6.0	CSnegFt
616.5086	6.0	CSminFt
644.5124	6.0	CSnegHt
672.5161	6.0	CSnegHf
678.5206	0.5	USneg
700.5032	6.0	CSminHf
728.507	6.0	CSnegFf
734.5207	0.5	USneg
756.5107	6.0	CSminFf
784.5145	6.0	CSminHf
812.5182	6.0	CSnegHf
818.5208	0.5	USneg
840.5053	6.0	CSminHt
868.5091	6.0	CSnegFt
896.5128	6.0	CSminFt
924.5165	6.0	CSnegHt
952.5036	6.0	CSnegFf
958.5209	0.5	USneg
980.5074	6.0	CSnegFf
986.5209	0.5	USneg
1008.5111	6.0	CSminFf
1036.5149	6.0	CSminHf
1064.5186	6.0	CSminFf
1092.5057	6.0	CSnegHf
1098.5209	0.5	USneg
1120.5095	6.0	CSminHt
1148.5132	6.0	CSnegFt
1176.517	6.0	CSminFt
1204.5041	6.0	CSnegHt
1232.5078	6.0	CSnegFf
1238.5211	0.5	USneg
1260.5116	6.0	CSminHf
1288.5153	6.0	CSnegHf
1294.5211	0.5	USneg
1316.519	6.0	CSminFf
1344.5061	6.0	CSminHt
1372.5099	6.0	CSnegFt
1400.5136	6.0	CSminFt
1428.5174	6.0	CSnegHt
