onset	duration	stimulus
0.5087	6.0	CSminHt
28.5125	6.0	CSnegFt
56.5162	6.0	CSminFt
84.5033	6.0	CSnegHt
112.5071	6.0	CSminHt
140.5108	6.0	CSnegFt
168.5146	6.0	CSminFt
196.5184	6.0	CSnegHt
224.5055	6.0	CSnegFf
230.5203	0.5	USneg
252.5092	6.0	CSnegHf
258.5203	0.5	USneg
280.513	6.0	CSminFf
308.5167	6.0	CSminFf
336.5038	6.0	CSminHf
364.5076	6.0	CSnegFf
370.5204	0.5	USneg
392.5114	6.0	CSminHt
420.5151	6.0	CSnegFt
448.5189	6.0	CSminFt
476.506	6.0	CSnegHt
504.5097	6.0	CSnegHf
510.5205	0.5	USneg
532.5135	6.0	CSminHf
560.5172	6.0	CSminHt
588.5043	6.0	CSnegFt
616.5081	6.0	CSminFt
644.5119	6.0	CSnegHt
672.5156	6.0	CSnegHf
678.5207	0.5	USneg
700.5194	6.0	CSminHf
728.5065	6.0	CSnegFf
734.5207	0.5	USneg
756.5102	6.0	CSminFf
784.514	6.0	CSminHf
812.5177	6.0	CSnegHf
818.5208	0.5	USneg
840.5048	6.0	CSminHt
868.5086	6.0	CSnegFt
896.5123	6.0	CSminFt
924.5161	6.0	CSnegHt
952.5199	6.0	CSnegFf
958.5209	0.5	USneg
980.507	6.0	CSnegFf
986.5209	0.5	USneg
1008.5107	6.0	CSminFf
1036.5145	6.0	CSminHf
1064.5182	6.0	CSminFf
1092.5053	6.0	CSnegHf
1098.521	0.5	USneg
1120.5091	6.0	CSminHt
1148.5128	6.0	CSnegFt
1176.5166	6.0	CSminFt
1204.5037	6.0	CSnegHt
1232.5074	6.0	CSnegFf
1238.5211	0.5	USneg
1260.5112	6.0	CSminHf
1288.5149	6.0	CSnegHf
1294.5212	0.5	USneg
1316.5187	6.0	CSminFf
1344.5058	6.0	CSminHt
1372.5095	6.0	CSnegFt
1400.5133	6.0	CSminFt
1428.517	6.0	CSnegHt
