onset	duration	stimulus
0.5118	6.0	CSnegFt
28.5156	6.0	CSminHt
56.5027	6.0	CSnegHt
84.5064	6.0	CSminFt
112.5102	6.0	CSnegFt
140.5139	6.0	CSminHt
168.5177	6.0	CSnegHt
196.5048	6.0	CSminFt
224.5085	6.0	CSnegHf
230.5204	0.5	USneg
252.5123	6.0	CSnegFf
258.5204	0.5	USneg
280.516	6.0	CSminHf
308.5031	6.0	CSminHf
336.5069	6.0	CSminFf
364.5106	6.0	CSnegHf
370.5206	0.5	USneg
392.5144	6.0	CSnegFt
420.5181	6.0	CSminHt
448.5052	6.0	CSnegHt
476.509	6.0	CSminFt
504.5127	6.0	CSnegFf
510.5208	0.5	USneg
532.5165	6.0	CSminFf
560.5036	6.0	CSnegFt
588.5073	6.0	CSminHt
616.511	6.0	CSnegHt
644.5148	6.0	CSminFt
672.5185	6.0	CSnegFf
678.521	0.5	USneg
700.5056	6.0	CSminFf
728.5094	6.0	CSnegHf
734.521	0.5	USneg
756.5131	6.0	CSminHf
784.5169	6.0	CSminFf
812.504	6.0	CSnegFf
818.5211	0.5	USneg
840.5077	6.0	CSnegFt
868.5115	6.0	CSminHt
896.5152	6.0	CSnegHt
924.519	6.0	CSminFt
952.506	6.0	CSnegHf
958.5214	0.5	USneg
980.5098	6.0	CSnegHf
986.5213	0.5	USneg
1008.5135	6.0	CSminHf
1036.5173	6.0	CSminFf
1064.5044	6.0	CSminHf
1092.5081	6.0	CSnegFf
1098.5215	0.5	USneg
1120.5119	6.0	CSnegFt
1148.5156	6.0	CSminHt
1176.5193	6.0	CSnegHt
1204.5064	6.0	CSminFt
1232.5102	6.0	CSnegHf
1238.5216	0.5	USneg
1260.5139	6.0	CSminFf
1288.5177	6.0	CSnegFf
1294.5217	0.5	USneg
1316.5047	6.0	CSminHf
1344.5085	6.0	CSnegFt
1372.5122	6.0	CSminHt
1400.516	6.0	CSnegHt
1428.5197	6.0	CSminFt
