onset	duration	stimulus
0.5131	6.0	CSminHt
28.5168	6.0	CSnegFt
56.5038	6.0	CSminFt
84.5074	6.0	CSnegHt
112.5111	6.0	CSminHt
140.5147	6.0	CSnegFt
168.5184	6.0	CSminFt
196.5054	6.0	CSnegHt
224.509	6.0	CSnegFf
230.5194	0.5	USneg
252.5127	6.0	CSnegHf
258.5193	0.5	USneg
280.5163	6.0	CSminFf
308.5033	6.0	CSminFf
336.5069	6.0	CSminHf
364.5106	6.0	CSnegFf
370.519	0.5	USneg
392.5142	6.0	CSminHt
420.5179	6.0	CSnegFt
448.5049	6.0	CSminFt
476.5085	6.0	CSnegHt
504.5122	6.0	CSnegHf
510.5186	0.5	USneg
532.5158	6.0	CSminHf
560.5028	6.0	CSminHt
588.5064	6.0	CSnegFt
616.5101	6.0	CSminFt
644.5137	6.0	CSnegHt
672.5007	6.0	CSnegHf
678.5182	0.5	USneg
700.5044	6.0	CSminHf
728.508	6.0	CSnegFf
734.5179	0.5	USneg
756.5117	6.0	CSminFf
784.5153	6.0	CSminHf
812.5023	6.0	CSnegHf
818.5178	0.5	USneg
840.5059	6.0	CSminHt
868.5096	6.0	CSnegFt
896.5132	6.0	CSminFt
924.5002	6.0	CSnegHt
952.5039	6.0	CSnegFf
958.5172	0.5	USneg
980.5075	6.0	CSnegFf
986.5171	0.5	USneg
1008.5112	6.0	CSminFf
1036.5148	6.0	CSminHf
1064.5018	6.0	CSminFf
1092.5054	6.0	CSnegHf
1098.5168	0.5	USneg
1120.5091	6.0	CSminHt
1148.5127	6.0	CSnegFt
1176.4997	6.0	CSminFt
1204.5034	6.0	CSnegHt
1232.507	6.0	CSnegFf
1238.5164	0.5	USneg
1260.5106	6.0	CSminHf
1288.5143	6.0	CSnegHf
1294.5162	0.5	USneg
1316.5013	6.0	CSminFf
1344.5049	6.0	CSminHt
1372.5086	6.0	CSnegFt
1400.5122	6.0	CSminFt
1428.4992	6.0	CSnegHt
