onset	duration	stimulus
0.5093	6.0	CSminHt
28.5127	6.0	CSnegFt
56.5162	6.0	CSminFt
84.5197	6.0	CSnegHt
112.5233	6.0	CSminHt
140.5102	6.0	CSnegFt
168.5137	6.0	CSminFt
196.5172	6.0	CSnegHt
224.5208	6.0	CSnegFf
230.5186	0.5	USneg
252.5076	6.0	CSnegHf
258.5184	0.5	USneg
280.5113	6.0	CSminFf
308.5147	6.0	CSminFf
336.5183	6.0	CSminHf
364.5052	6.0	CSnegFf
370.5177	0.5	USneg
392.5087	6.0	CSminHt
420.5122	6.0	CSnegFt
448.5157	6.0	CSminFt
476.5026	6.0	CSnegHt
504.5062	6.0	CSnegHf
510.5167	0.5	USneg
532.5097	6.0	CSminHf
560.5132	6.0	CSminHt
588.5168	6.0	CSnegFt
616.5203	6.0	CSminFt
644.5072	6.0	CSnegHt
672.5107	6.0	CSnegHf
678.5156	0.5	USneg
700.5142	6.0	CSminHf
728.5178	6.0	CSnegFf
734.5153	0.5	USneg
756.5046	6.0	CSminFf
784.5082	6.0	CSminHf
812.5117	6.0	CSnegHf
818.5147	0.5	USneg
840.5153	6.0	CSminHt
868.5021	6.0	CSnegFt
896.5056	6.0	CSminFt
924.5092	6.0	CSnegHt
952.5127	6.0	CSnegFf
958.5137	0.5	USneg
980.4996	6.0	CSnegFf
986.5135	0.5	USneg
1008.5031	6.0	CSminFf
1036.5067	6.0	CSminHf
1064.5102	6.0	CSminFf
1092.5137	6.0	CSnegHf
1098.5128	0.5	USneg
1120.5006	6.0	CSminHt
1148.5042	6.0	CSnegFt
1176.5077	6.0	CSminFt
1204.5112	6.0	CSnegHt
1232.5147	6.0	CSnegFf
1238.5118	0.5	USneg
1260.5016	6.0	CSminHf
1288.5052	6.0	CSnegHf
1294.5115	0.5	USneg
1316.5087	6.0	CSminFf
1344.5122	6.0	CSminHt
1372.4991	6.0	CSnegFt
1400.5027	6.0	CSminFt
1428.5062	6.0	CSnegHt
