onset	duration	stimulus
0.5153	6.0	CSminHt
28.5189	6.0	CSnegFt
56.5224	6.0	CSminFt
84.5093	6.0	CSnegHt
112.5129	6.0	CSminHt
140.5164	6.0	CSnegFt
168.5199	6.0	CSminFt
196.5068	6.0	CSnegHt
224.5103	6.0	CSnegFf
230.5186	0.5	USneg
252.5139	6.0	CSnegHf
258.5184	0.5	USneg
280.5174	6.0	CSminFf
308.5043	6.0	CSminFf
336.5078	6.0	CSminHf
364.5114	6.0	CSnegFf
370.5177	0.5	USneg
392.5149	6.0	CSminHt
420.5184	6.0	CSnegFt
448.5053	6.0	CSminFt
476.5088	6.0	CSnegHt
504.5124	6.0	CSnegHf
510.5167	0.5	USneg
532.5159	6.0	CSminHf
560.5195	6.0	CSminHt
588.5063	6.0	CSnegFt
616.5099	6.0	CSminFt
644.5134	6.0	CSnegHt
672.5169	6.0	CSnegHf
678.5156	0.5	USneg
700.5038	6.0	CSminHf
728.5074	6.0	CSnegFf
734.5152	0.5	USneg
756.5109	6.0	CSminFf
784.5144	6.0	CSminHf
812.5013	6.0	CSnegHf
818.5146	0.5	USneg
840.5048	6.0	CSminHt
868.5084	6.0	CSnegFt
896.5119	6.0	CSminFt
924.5155	6.0	CSnegHt
952.5023	6.0	CSnegFf
958.5137	0.5	USneg
980.5059	6.0	CSnegFf
986.5136	0.5	USneg
1008.5094	6.0	CSminFf
1036.5129	6.0	CSminHf
1064.5165	6.0	CSminFf
1092.5034	6.0	CSnegHf
1098.5128	0.5	USneg
1120.5069	6.0	CSminHt
1148.5104	6.0	CSnegFt
1176.514	6.0	CSminFt
1204.5008	6.0	CSnegHt
1232.5044	6.0	CSnegFf
1238.5118	0.5	USneg
1260.5079	6.0	CSminHf
1288.5115	6.0	CSnegHf
1294.5114	0.5	USneg
1316.4983	6.0	CSminFf
1344.5019	6.0	CSminHt
1372.5054	6.0	CSnegFt
1400.509	6.0	CSminFt
1428.4958	6.0	CSnegHt
