onset	duration	stimulus
0.5122	6.0	CSminHt
28.516	6.0	CSnegFt
56.503	6.0	CSminFt
84.5068	6.0	CSnegHt
112.5105	6.0	CSminHt
140.5143	6.0	CSnegFt
168.5181	6.0	CSminFt
196.5052	6.0	CSnegHt
224.5089	6.0	CSnegFf
230.5203	0.5	USneg
252.5127	6.0	CSnegHf
258.5204	0.5	USneg
280.5165	6.0	CSminFf
308.5035	6.0	CSminFf
336.5073	6.0	CSminHf
364.511	6.0	CSnegFf
370.5206	0.5	USneg
392.5148	6.0	CSminHt
420.5185	6.0	CSnegFt
448.5056	6.0	CSminFt
476.5094	6.0	CSnegHt
504.5131	6.0	CSnegHf
510.5206	0.5	USneg
532.5169	6.0	CSminHf
560.504	6.0	CSminHt
588.5077	6.0	CSnegFt
616.5115	6.0	CSminFt
644.5152	6.0	CSnegHt
672.519	6.0	CSnegHf
678.5207	0.5	USneg
700.5061	6.0	CSminHf
728.5099	6.0	CSnegFf
734.5207	0.5	USneg
756.5136	6.0	CSminFf
784.5173	6.0	CSminHf
812.5044	6.0	CSnegHf
818.5208	0.5	USneg
840.5082	6.0	CSminHt
868.5119	6.0	CSnegFt
896.5157	6.0	CSminFt
924.5194	6.0	CSnegHt
952.5065	6.0	CSnegFf
958.5209	0.5	USneg
980.5103	6.0	CSnegFf
986.5209	0.5	USneg
1008.514	6.0	CSminFf
1036.5178	6.0	CSminHf
1064.5049	6.0	CSminFf
1092.5086	6.0	CSnegHf
1098.521	0.5	USneg
1120.5124	6.0	CSminHt
1148.5161	6.0	CSnegFt
1176.5199	6.0	CSminFt
1204.507	6.0	CSnegHt
1232.5107	6.0	CSnegFf
1238.5211	0.5	USneg
1260.5145	6.0	CSminHf
1288.5182	6.0	CSnegHf
1294.5212	0.5	USneg
1316.5053	6.0	CSminFf
1344.5091	6.0	CSminHt
1372.5128	6.0	CSnegFt
1400.5166	6.0	CSminFt
1428.5037	6.0	CSnegHt
