onset	duration	stimulus
0.5134	6.0	CSminHt
28.5169	6.0	CSnegFt
56.5038	6.0	CSminFt
84.5073	6.0	CSnegHt
112.5109	6.0	CSminHt
140.5144	6.0	CSnegFt
168.5179	6.0	CSminFt
196.5048	6.0	CSnegHt
224.5084	6.0	CSnegFf
230.5188	0.5	USneg
252.5119	6.0	CSnegHf
258.5186	0.5	USneg
280.5154	6.0	CSminFf
308.5023	6.0	CSminFf
336.5059	6.0	CSminHf
364.5095	6.0	CSnegFf
370.5179	0.5	USneg
392.5129	6.0	CSminHt
420.5165	6.0	CSnegFt
448.5034	6.0	CSminFt
476.5069	6.0	CSnegHt
504.5105	6.0	CSnegHf
510.517	0.5	USneg
532.514	6.0	CSminHf
560.5009	6.0	CSminHt
588.5044	6.0	CSnegFt
616.5079	6.0	CSminFt
644.5115	6.0	CSnegHt
672.515	6.0	CSnegHf
678.516	0.5	USneg
700.5019	6.0	CSminHf
728.5054	6.0	CSnegFf
734.5156	0.5	USneg
756.5091	6.0	CSminFf
784.5125	6.0	CSminHf
812.4994	6.0	CSnegHf
818.5151	0.5	USneg
840.5029	6.0	CSminHt
868.5064	6.0	CSnegFt
896.51	6.0	CSminFt
924.4969	6.0	CSnegHt
952.5004	6.0	CSnegFf
958.5143	0.5	USneg
980.5039	6.0	CSnegFf
986.5141	0.5	USneg
1008.5075	6.0	CSminFf
1036.511	6.0	CSminHf
1064.4979	6.0	CSminFf
1092.5014	6.0	CSnegHf
1098.5134	0.5	USneg
1120.5049	6.0	CSminHt
1148.5085	6.0	CSnegFt
1176.4953	6.0	CSminFt
1204.4989	6.0	CSnegHt
1232.5024	6.0	CSnegFf
1238.5125	0.5	USneg
1260.5059	6.0	CSminHf
1288.5095	6.0	CSnegHf
1294.5121	0.5	USneg
1316.4964	6.0	CSminFf
1344.4999	6.0	CSminHt
1372.5034	6.0	CSnegFt
1400.507	6.0	CSminFt
1428.4938	6.0	CSnegHt
